"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"BACH, Johann Christian",1735-1782,Gloria G-Dur  (1759),,,,"0,00",,,Gronostay,Rias Sinfonietta,Rias Kamchor, 1908,Schw  3 541,,,96
"BACH, Johann Christian",1735-1782,La Calamita de cuori,,Ouverture Nr.2 D-Dur,,"4,34",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,97
"BACH, Johann Christian",1735-1782,Sinfoniae concertante,,"F-Dur f.Oboe,Violoncello u.Orchester","(Oboe,2 Horner u.Streicher)","13,24","Oboe,V'cello",,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,98
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.2 C-Dur,,"8,57",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,99
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.1 D-Dur,,"9,13",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,100
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.3 Es-Dur,,"9,18",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,131,,101
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.4 B-Dur,,"8,19",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,102
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.5 F-Dur,,"8,04",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336, 67,,103
"BACH, Johann Christian",1735-1782,Sinfonien Op. 3 Nr.1-6,,Nr.6 G-Dur,,"9,08",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,104
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.1 G-Dur,,"0,00",,,Gmur,Frankisches Kamorch.,, 1808,Col 0 534,,,105
